SA2_CODE_2021,SA2_NAME_2021,SA3_CODE_2021,SA3_NAME_2021,SA4_CODE_2021,SA4_NAME_2021,LGA_CODE_2021,LGA_NAME_2021
318021489,Townsville - South,31802,Townsville,318,Townsville,37010,Townsville (C)
315031408,Barcaldine - Blackall,31503,Outback - South,315,Queensland - Outback,30410,Barcaldine (R)
306051166,Atherton,30605,Tablelands (East) - Kuranda,306,Cairns,36820,Tablelands (R)
306051169,Malanda - Yungaburra,30605,Tablelands (East) - Kuranda,306,Cairns,36820,Tablelands (R)
315011395,Aurukun,31501,Far North,315,Queensland - Outback,30250,Aurukun (S)
315011402,Torres Strait Islands,31501,Far North,315,Queensland - Outback,36960,Torres Strait Island (R)
315011401,Torres,31501,Far North,315,Queensland - Outback,36950,Torres (S)
307011171,Balonne,30701,Darling Downs (West) - Maranoa,307,Darling Downs - Maranoa,30300,Balonne (S)
315011399,Northern Peninsula,31501,Far North,315,Queensland - Outback,35780,Northern Peninsula Area (R)
308041528,Banana,30804,Biloela,308,Central Queensland,30370,Banana (S)
308041529,Biloela,30804,Biloela,308,Central Queensland,30370,Banana (S)
315031410,Far Central West,31503,Outback - South,315,Queensland - Outback,30450,Barcoo (S)
308011191,Central Highlands - West,30801,Central Highlands (Qld),308,Central Queensland,32270,Central Highlands (R)
311041570,Jimboomba - Glenlogan,31104,Jimboomba,311,Logan - Beaudesert,34590,Logan (C)
311031318,Munruben - Park Ridge South,31103,Browns Plains,311,Logan - Beaudesert,34590,Logan (C)
311041568,Flagstone (West) - New Beith,31104,Jimboomba,311,Logan - Beaudesert,34590,Logan (C)
311041569,Greenbank - North Maclean,31104,Jimboomba,311,Logan - Beaudesert,34590,Logan (C)
311031313,Chambers Flat - Logan Reserve,31103,Browns Plains,311,Logan - Beaudesert,34590,Logan (C)
311041322,Logan Village,31104,Jimboomba,311,Logan - Beaudesert,34590,Logan (C)
311041567,Flagstone (East) - Riverbend,31104,Jimboomba,311,Logan - Beaudesert,34590,Logan (C)
311041571,Yarrabilba,31104,Jimboomba,311,Logan - Beaudesert,34590,Logan (C)
309041242,Tamborine - Canungra,30904,Gold Coast Hinterland,309,Gold Coast,36510,Scenic Rim (R)
311011305,Beaudesert,31101,Beaudesert,311,Logan - Beaudesert,36510,Scenic Rim (R)
310021277,Boonah,31002,Ipswich Hinterland,310,Ipswich,36510,Scenic Rim (R)
312011339,Clermont,31201,Bowen Basin - North,312,Mackay - Isaac - Whitsunday,33980,Isaac (R)
312011341,Moranbah,31201,Bowen Basin - North,312,Mackay - Isaac - Whitsunday,33980,Isaac (R)
