SA2_CODE_2021,SA2_NAME_2021,PHN_NAME_2023
301011001,Alexandra Hills,Brisbane South
301011002,Belmont - Gumdale,Brisbane South
301011003,Birkdale,Brisbane South
301011004,Capalaba,Brisbane South
301011005,Thorneside,Brisbane South
301011006,Wellington Point,Brisbane South
301021007,Cleveland,Brisbane South
301021008,Ormiston,Brisbane South
301021009,Redland Bay,Brisbane South
301021011,Sheldon - Mount Cotton,Brisbane South
301021012,Thornlands,Brisbane South
301021013,Victoria Point,Brisbane South
301021550,North Stradbroke Island,Brisbane South
301021551,Southern Moreton Bay Islands,Brisbane South
301031014,Brisbane Port - Lytton,Brisbane South
301031015,Manly - Lota,Brisbane South
301031016,Manly West,Brisbane South
301031017,Murarrie,Brisbane South
301031018,Tingalpa,Brisbane South
301031019,Wakerley,Brisbane South
301031020,Wynnum,Brisbane South
301031021,Wynnum West - Hemmant,Brisbane South
302011022,Bald Hills,Brisbane North
302011023,Bridgeman Downs,Brisbane North
302011024,Carseldine,Brisbane North
302011025,Everton Park,Brisbane North
302011026,McDowall,Brisbane North
302021027,Aspley,Brisbane North
302021028,Chermside,Brisbane North
302021029,Chermside West,Brisbane North
302021030,Geebung,Brisbane North
302021031,Kedron - Gordon Park,Brisbane North
302021032,Stafford,Brisbane North
302021033,Stafford Heights,Brisbane North
302021034,Wavell Heights,Brisbane North
302031035,Boondall,Brisbane North
302031036,Brisbane Airport,Brisbane North
302031037,Eagle Farm - Pinkenba,Brisbane North
302031038,Northgate - Virginia,Brisbane North
302031039,Nudgee - Banyo,Brisbane North
302031040,Nundah,Brisbane North
302041041,Bracken Ridge,Brisbane North
302041042,Brighton (Qld),Brisbane North
302041043,Deagon,Brisbane North
302041044,Sandgate - Shorncliffe,Brisbane North
302041045,Taigum - Fitzgibbon,Brisbane North
302041046,Zillmere,Brisbane North
303011047,Camp Hill,Brisbane South
303011048,Cannon Hill,Brisbane South
303011049,Carina,Brisbane South
303011050,Carina Heights,Brisbane South
303011051,Carindale,Brisbane South
303021052,Annerley,Brisbane South
303021053,Coorparoo,Brisbane South
303021054,Fairfield - Dutton Park,Brisbane South
303021055,Greenslopes,Brisbane South
303021056,Holland Park,Brisbane South
303021057,Holland Park West,Brisbane South
303021058,Woolloongabba,Brisbane South
303021059,Yeronga,Brisbane South
303031060,Eight Mile Plains,Brisbane South
303031061,Macgregor (Qld),Brisbane South
303031062,Mansfield (Qld),Brisbane South
303031063,Mount Gravatt,Brisbane South
303031064,Rochedale - Burbank,Brisbane South
303031065,Upper Mount Gravatt,Brisbane South
303031066,Wishart,Brisbane South
303041067,Coopers Plains,Brisbane South
303041068,Moorooka,Brisbane South
303041069,Robertson,Brisbane South
303041070,Salisbury - Nathan,Brisbane South
303041071,Tarragindi,Brisbane South
303051072,Algester,Brisbane South
303051073,Calamvale - Stretton,Brisbane South
303051074,Pallara - Willawong,Brisbane South
303051075,Parkinson - Drewvale,Brisbane South
303051076,Rocklea - Acacia Ridge,Brisbane South
303061077,Kuraby,Brisbane South
303061078,Runcorn,Brisbane South
303061079,Sunnybank,Brisbane South
303061080,Sunnybank Hills,Brisbane South
304011081,Jindalee - Mount Ommaney,Brisbane South
304011082,Middle Park - Jamboree Heights,Brisbane South
304011083,Riverhills,Brisbane South
304011084,Seventeen Mile Rocks - Sinnamon Park,Brisbane South
304011085,Westlake,Brisbane South
304021086,Bellbowrie - Moggill,Brisbane North
304021087,Brookfield - Kenmore Hills,Brisbane North
304021088,Chapel Hill,Brisbane North
304021089,Fig Tree Pocket,Brisbane North
304021090,Kenmore,Brisbane North
304021091,Pinjarra Hills - Pullenvale,Brisbane North
304031092,Chelmer - Graceville,Brisbane South
304031093,Corinda,Brisbane South
304031094,Indooroopilly,Brisbane North
304031095,Sherwood,Brisbane South
304031096,St Lucia,Brisbane North
304031097,Taringa,Brisbane North
304041098,Enoggera,Brisbane North
304041099,Enoggera Reservoir,Brisbane North
304041100,Keperra,Brisbane North
304041101,Mitchelton,Brisbane North
304041102,Mount Coot-tha,Brisbane North
304041103,The Gap,Brisbane North
304041104,Upper Kedron - Ferny Grove,Brisbane North
305011105,Brisbane City,Brisbane North
305011106,Fortitude Valley,Brisbane North
305011107,Highgate Hill,Brisbane South
305011108,Kangaroo Point,Brisbane South
305011109,New Farm,Brisbane North
305011110,South Brisbane,Brisbane South
